mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	2	2	1/8	1/8	1		2	50	16
1	1	0	0	4/4	2	1	1/4	1/4	1		3	57	11
1	1	0	0	4/4	1	2	1/8	1/8	1		-1	65	5
1	1	0	0	4/4	1	1	1/4	1/4	1		2	74	0
1	1	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	17
1	1	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	6
1	1	1/4	1/4	4/4	2	2	1/8	1/8	1		-1	53	18
1	1	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	12
1	1	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	1
1	1	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	7
1	1	3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	19
1	1	1/2	1/2	4/4	2	2	1/8	1/8	1		3	57	20
1	1	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60	13
1	1	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	8
1	1	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	2
1	1	5/8	5/8	4/4	2	2	1/8	1/8	1		1	55	21
1	1	5/8	5/8	4/4	2	1	1/8	1/8	1		-2	58	14
1	1	3/4	3/4	4/4	2	2	1/8	1/8	1		-1	53	22
1	1	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	15
1	1	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	9
1	1	3/4	3/4	4/4	1	1	1/8	1/8	1		2	74	3
1	1	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	23
1	1	7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	10
1	1	7/8	7/8	4/4	1	1	1/8	1/8	1		4	76	4
2	2	0	0	4/4	2	2	1/4	1/4	1		2	50	40
2	2	0	0	4/4	2	1	1/4	1/4	1	1	2	62	33
2	2	0	0	4/4	1	2	1/4	1/4	1		3	69	28
2	2	0	0	4/4	1	1	1/4	1/4	1		-1	77	24
2	2	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	41
2	2	1/4	1/4	4/4	2	1	1/8	1/8	1	-1	2	62	34
2	2	1/4	1/4	4/4	1	2	3/16	1/8	3/2		3	69	29
2	2	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	25
