rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ambitus	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	019 Ich hab mein Sach Gott heimgestellt	10	10	1: -1	1: 4/4	0										2021-11-22	Linux			3.6.2	38-72 (D2-C5)	cap	55-72 (G3-C5)	Sopran/Alt	38-62 (D2-D4)	Tenor/Baß
MS3	020 Ein feste Burg ist unser Gott	14	14	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	38-74 (D2-D5)	cap	57-74 (A3-D5)	Sopran/Alt	38-66 (D2-F#4)	Tenor/Baß
MS3	021 Herzlich tut mich verlangen	14	14	1: 0	1: 4/4	0										2021-11-22	Linux			3.6.2	43-74 (G2-D5)	cap	59-74 (B3-D5)	Sopran/Alt	43-64 (G2-E4)	Tenor/Baß
MS3	022 Schmücke dich, o liebe Seele	15	15	1: -3	1: 4/4	0										2021-11-22	Linux			3.6.2	39-75 (Eb2-Eb5)	cap	58-75 (Bb3-Eb5)	Sopran/Alt	39-65 (Eb2-F4)	Tenor/Baß
MS3	023 Zeuch ein zu deinen Toren	14	14	1: 0	1: 4/4	0										2021-11-22	Linux			3.6.2	43-76 (G2-E5)	cap	57-76 (A3-E5)	Sopran/Alt	43-65 (G2-F4)	Tenor/Baß
MS3	024 Valet will ich dir geben	14	14	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	38-78 (D2-F#5)	cap	57-78 (A3-F#5)	Sopran/Alt	38-69 (D2-A4)	Tenor/Baß
MS3	025 Wo soll ich fliehen hin	13	13	1: -3	1: 4/4	0										2021-11-22	Linux			3.6.2	41-75 (F2-Eb5)	cap	60-75 (C4-Eb5)	Sopran/Alt	41-65 (F2-F4)	Tenor/Baß
MS3	026 O Ewigkeit, du Donnerwort	12	12	1: -1	1: 4/4	0										2021-11-22	Linux			3.6.2	41-77 (F2-F5)	cap	60-77 (C4-F5)	Sopran/Alt	41-65 (F2-F4)	Tenor/Baß
MS3	027 Es spricht der Unweisen Mund wohl	12	12	1: -2	1: 4/4	0										2021-11-22	Linux			3.6.2	41-77 (F2-F5)	cap	60-77 (C4-F5)	Sopran/Alt	41-67 (F2-G4)	Tenor/Baß
MS3	028 Nun komm, der Heiden Heiland	8	8	1: 2	1: 4/4	0										2021-11-22	Linux			3.6.2	47-78 (B2-F#5)	cap	62-78 (D4-F#5)	Sopran/Alt	47-67 (B2-G4)	Tenor/Baß
MS3	029 Freu dich sehr, o meine Seele	13	13	1: 1	1: 4/4	0										2021-11-22	Linux			3.6.2	43-76 (G2-E5)	cap	57-76 (A3-E5)	Sopran/Alt	43-64 (G2-E4)	Tenor/Baß
MS3	030 Jesus Christus, unser Heiland	12	12	1: 1	1: 4/4	0										2021-11-22	Linux			3.6.2	40-76 (E2-E5)	cap	59-76 (B3-E5)	Sopran/Alt	40-64 (E2-E4)	Tenor/Baß
MS3	031 Ach lieben Christen, seid getrost	12	12	1: 0	1: 4/4	0										2021-11-22	Linux			3.6.2	43-77 (G2-F5)	cap	62-77 (D4-F5)	Sopran/Alt	43-65 (G2-F4)	Tenor/Baß
MS3	032 Nun danket alle Gott	14	14	1: 3	1: 4/4	0										2021-11-22	Linux			3.6.2	40-78 (E2-F#5)	cap	64-78 (E4-F#5)	Sopran/Alt	40-67 (E2-G4)	Tenor/Baß
MS3	033 Erbarm dich mein, o Herre Gott	15	15	1: 0	1: 4/4	0										2021-11-22	Linux			3.6.2	36-72 (C2-C5)	cap	55-72 (G3-C5)	Sopran/Alt	36-67 (C2-G4)	Tenor/Baß
MS3	034 Gott des Himmels und der Erden	8	8	1: 3	1: 4/4	0										2021-11-22	Linux			3.6.2	40-76 (E2-E5)	cap	59-76 (B3-E5)	Sopran/Alt	40-64 (E2-E4)	Tenor/Baß
MS3	035 Herr, ich habe mißgehandelt	9	9	1: 0	1: 4/4	0										2021-11-22	Linux			3.6.2	40-79 (E2-G5)	cap	57-79 (A3-G5)	Sopran/Alt	40-67 (E2-G4)	Tenor/Baß
MS3	036 Nun bitten wir den heiligen Geist	15	15	1: 3	1: 4/4	0										2021-11-22	Linux			3.6.2	40-78 (E2-F#5)	cap	59-78 (B3-F#5)	Sopran/Alt	40-68 (E2-G#4)	Tenor/Baß
MS3	037 Jesu, der du meine Seele	12	12	1: 0	1: 4/4	0										2021-11-22	Linux			3.6.2	43-77 (G2-F5)	cap	60-77 (C4-F5)	Sopran/Alt	43-67 (G2-G4)	Tenor/Baß
MS3	038 Straf mich nicht in deinem Zorn	10	10	1: -3	1: 4/4	0										2021-11-22	Linux			3.6.2	39-75 (Eb2-Eb5)	cap	58-75 (Bb3-Eb5)	Sopran/Alt	39-62 (Eb2-D4)	Tenor/Baß
