mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	2	4/4	1/4	3/4					firstMeasure	2
2	2	2	4/4	1	0						3
3	3	2	4/4	1	0						4
4	4	2	4/4	1	0				line		5
5	5	2	4/4	1	0						6
6	6	2	4/4	1	0						7
7	7	2	4/4	3/4	0					end	1, 8
8	8	2	4/4	1/4	3/4						9
9	9	2	4/4	1	0						10
10	10	2	4/4	1	0				line		11
11	11	2	4/4	1	0						12
12	12	2	4/4	1	0						13
13	13	2	4/4	1	0				line		14
14	14	2	4/4	1	0						15
15	15	2	4/4	1	0						16
16	16	2	4/4	3/4	0				line	lastMeasure	-1
