mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	3	4/4	1/4	3/4						firstMeasure	2
2	2	3	4/4	1	0							3
3	3	3	4/4	1	0							4
4	4	3	4/4	1	0							5
5	5	3	4/4	3/4	0					line	end	1, 6
6	6	3	4/4	1/4	3/4							7
7	7	3	4/4	1	0							8
8	8	3	4/4	1	0							9
9	9	3	4/4	1	0							10
10	10	3	4/4	1	0					line		11
11	11	3	4/4	1	0							12
12	12	3	4/4	1	0							13
13	13	3	4/4	1	0					line		14
14	14	3	4/4	1	0							15
15	15	3	4/4	3/4	0					line	lastMeasure	-1
