mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	2	4/4	1/4	3/4						firstMeasure	2
2	2	2	4/4	1	0						start	3
3	3	2	4/4	1	0							4
4	4	2	4/4	1	0							5
5	5	2	4/4	1	0					line		6
6	6	2	4/4	1	0							7
7	7	2	4/4	1	0	1					end	2, 8
8	8	2	4/4	1	0							9
9	9	2	4/4	1	0					line		10
10	10	2	4/4	1	0							11
11	11	2	4/4	1	0							12
12	12	2	4/4	1	0					line		13
13	13	2	4/4	1	0							14
14	14	2	4/4	1	0							15
15	15	2	4/4	1	0					line		16
16	16	2	4/4	1	0							17
17	17	2	4/4	1	0							18
18	18	2	4/4	1	0							19
19	19	2	4/4	3/4	0					line	lastMeasure	-1
